Component, LCOM2, LCOM3, LCOM5, TCC, CBO, LCOM4, LOC, LCbC_MM, LCbC_XScan, MWE, CC
org.gjt.sp.jedit.gui.RegisterViewer,18,83,75,10,2,3,151,3,4,0.009316979806813865,8
org.gjt.sp.jedit.gui.RolloverButton,19,79,75,10,0,4,54,0,0,0.010034025076204977,2
org.gjt.sp.jedit.gui.SelectLineRange,2,56,80,0,3,1,127,2,3,0.014081771045395347,2
org.gjt.sp.jedit.gui.ShortcutPrefixActiveEvent,5,61,83,30,0,1,39,1,0,0.010424736452189748,2
org.gjt.sp.jedit.gui.SplashScreen,9,77,93,67,0,1,144,0,0,0.01668513869857721,3
org.gjt.sp.jedit.gui.StatusBar,55,83,91,17,7,4,340,5,2,0.01091156210113613,10
org.gjt.sp.jedit.gui.StyleEditor,13,65,52,33,2,1,112,0,3,0.010732674134956051,2
org.gjt.sp.jedit.gui.TextAreaDialog,,,,0,0,4,76,1,2,0.01381727833670155,2
org.gjt.sp.jedit.gui.TipOfTheDay,4,70,,0,0,3,92,2,2,0.011311037392843074,2
org.gjt.sp.jedit.gui.ToolBarManager,4,50,0,100,1,3,53,1,0,0.013489886334640091,3
