Component, LCOM2, LCOM3, LCOM5, TCC, LCOM4, LCbC_XScan, MWE, CC
net.sf.freecol.common.model.DifficultyLevel,0,25,0,100,2,1,0.008064516129032258,14
net.sf.freecol.common.model.DiplomaticTrade,53,74,77,37,1,2,0.009717212394226358,9
net.sf.freecol.common.model.EquipmentType,88,86,86,18,5,2,0.008992962338969629,29
net.sf.freecol.common.model.Europe,557,88,85,11,9,12,0.007652498989488896,55
net.sf.freecol.common.model.EuropeanNationType,28,72,62,14,6,3,0.013483053811485181,35
net.sf.freecol.common.model.ExportData,36,63,66,11,3,3,0.010876940196406573,7
net.sf.freecol.common.model.Feature,109,79,77,24,2,2,0.01155428911171533,25
net.sf.freecol.common.model.Features,,,,0,3,0,0.014150943396226414,1
net.sf.freecol.common.model.FoundingFather,92,83,84,13,5,2,0.011981570947545912,29
net.sf.freecol.common.model.FreeColGameObject,404,81,82,4,10,4,0.010492178789499965,34
net.sf.freecol.common.model.FreeColGameObjectListener,,,,0,3,0,0.015351112243528564,2
net.sf.freecol.common.model.FreeColGameObjectType,127,76,56,23,7,5,0.010774934252051744,37
net.sf.freecol.common.model.FreeColObject,762,90,86,20,13,1,0.005760377209508543,42
net.sf.freecol.common.model.Game,1237,92,93,10,4,2,0.006762570097246183,77
net.sf.freecol.common.model.GameOptions,15,98,,0,2,3,0.010950202929273588,23
net.sf.freecol.common.model.GoalDecider,,,,0,3,0,0.010638297872340424,0
net.sf.freecol.common.model.GoldTradeItem,3,30,0,48,3,4,0.011194029850746268,8
net.sf.freecol.common.model.Goods,120,97,70,13,4,3,0.01007718563033386,22
net.sf.freecol.common.model.GoodsContainer,45,81,74,40,4,3,0.008115475317631736,28
net.sf.freecol.common.model.GoodsTradeItem,2,42,28,47,2,4,0.012569973780142605,8
net.sf.freecol.common.model.GoodsType,524,93,94,8,6,2,0.008930471466365771,26
net.sf.freecol.common.model.HighScore,281,84,88,4,2,2,0.008043222985837145,10
net.sf.freecol.common.model.HistoryEvent,4,53,54,25,2,3,0.01173481354691524,13
net.sf.freecol.common.model.IndianNationType,63,80,82,18,5,3,0.008614405855993674,31
net.sf.freecol.common.model.IndianSettlement,1538,94,93,9,10,12,0.04190448557499907,121
net.sf.freecol.common.model.Locatable,,,,0,4,0,0.014150943396226415,5
net.sf.freecol.common.model.Location,,,,0,12,0,0.014188797578566057,9
net.sf.freecol.common.model.LostCityRumour,,,,0,3,2,0.0095003837887945,20
